uuid,name,address,city,zip,exists_file1,exists_file2,number_of_occurrences
5f038b378043b3722c68bad450e253cb5f0d43d4de5e085b6aee6eef0d5e5e5c,PRUKOP FARMS,PO BOX 932,PREMONT,78375,true,false,6
e345309371e16fc1d4f00c415d197efd2ad6b4ece435105f5b288631c645934e,UNITED STATES POSTAL SERVICE,1675 7TH STREET,OAKLAND,94615,true,false,6
1d72295c5a20237d09ead0131bace9ec902d2d6019a6b9490f8b13d10f9aa4cc,ENVIROTRAC LTD INC,5 OLD DOCK RD,YAPHANK,11980,true,false,6
6022995599977596a533a2408b3bd675f9171b50fe19b0263f135dc51e8bdc58,DRAPER CARIBBEAN INC,MAIL117 N MAIN ST EDINA MO 63537 1492,MAYAGUEZ,680,true,false,6
e80cb4e3e18d299f75419780ad99970a9eedeb60b194e8ce3a5efa550a5f4bd1,ALL NETWORK COMMUNICATIONS LLC,302 S MAIN STREET,CENTERVILLE,84014,true,false,5
c929f26094fc43eb46d3ff61f74d0cc40db3be25a3667305d32e43fcb8fe59b9,HEALDS VALLEY FARMS AG INC,6715 WEST MONTE CRISTO,EDINBURG,78539,true,false,5
17748aacbc1d984edd4c97150e0844819a9d4fcccb376c79a6cb481a27d7286d,FAIRMONT GENERAL HOSPITAL INC,1325 LOCUST AVENUE,FAIRMONT,26554,true,false,5
a15694d233abcf61ff6dcd8a5ee63ab17a7a7238b7b6aafc4ff5bcb0f6625bc6,ADAMS PRODUCE INC,PO BOX 630,HATCH,87937,true,false,5
8166ee620e290fd8e565d749e7cff7d5caf2ecc44bc6e85d8f4730278249ff84,HEALTHCARE SERVICES GROUP INC,3220 TILLMAN DRIVE,BENSALEM,19020,true,false,5
611294d42370584929230c26c0740978ea34ec85f880fc43271b6b4f558d4718,JARVIS CHRISTIAN COLLEGE,PO BOX 1470,HAWKINS,75765,true,false,5
2e282af3ced24fe66473b5d8ce41255fa3c3aeef0fd399cbd0377d5b21d040a7,SHARYLAND PLANTATION LP,PO BOX 1043,MISSION,78572,true,false,5
fe94fecb692e4ebcec6beaae00e401dce46b60c468486ebc9a767115b0974170,VICTOR VILLAGOMEZ,5120 LAKE TRAFFORD ROAD,IMMOKALEE,34142,true,false,5
1be6be286527f64ba504e12810c1b96b5855a5bbbde0c5e65cd27f7811fa869d,LACK FARMS,PO BOX 274,HATCH,87937,true,false,5
1476add6be0b7e8c0899b33828937da792e29d03019025e0f3bc0ab580d26f80,KEYSPAN,15 PARK DRIVE,MELVILLE,11747,true,false,5
bd9459cff3e02e95a33f6281407c0d738d8db894f5e1b1b62dd25b4f72201229,RANCHO LA FRONTERA,PO BOX 509,COLUMBUS,88029,true,false,5
326f8b96141b89cd18686d9ac2d1f0cc6305d15e863d5add7db60796225c81ca,DESIGNER BUILT SYSTEMS INC,555 PAIEA ST,HONOLULU,96819,true,false,5
4085b623af9d4137868e352c0a45e287301ede5f64c211e93843c2cd5c555683,DOUBLE LIN INC,5025 W EXPRESSWAY 83,MCALLEN,78504,true,false,5
5486bcdd390333248264a6b23e96455cf2a4ca644e79c2674a76a7ad5074598b,POETRY CORPORATION,2111 S LONG BEACH AVE,LOS ANGELES,90058,true,false,5
7ecacd62bf86769fef4ce9e339192fd73c8644f5d9934bd460671e4f5042b22b,MOA MOA INC,1215 W WALNUT STREET,COMPTON,90220,true,false,5
e2e24e147d2a7181a921983b015e4f53e20e3daf77ad9dda4d3df4ef6aa724c5,MERCADO  SONS HARVESTING,5531 ROMAN CIRCLE,EDINBURG,78539,true,false,5
661d6e808cda93aa6a8a93da68148c0bfd8a2ed90897834e8e5a6cbcbbdccf47,LACK FARMS INC,PO BOX 274,HATCH,87937,true,false,5
136b428bad3a6fa70598ee75385f923284ab0670c5a67b52b43297c1dcef8e13,DANGELO FARMS INC,546 WASHINGTON AVE,DUMONT,7628,true,false,5
09acc8e082ba56ae4f83cc920e64e20672ba1d713e58543c4e573aaed41d6d65,D  W CORPORATION,PMB 762 BOX 10001,SAIPAN,96950,true,false,5
5ed868d1335f5454c632d326bd942edb60ad4a71a70794de7d0a743a96a49ca4,DECO INC,11140 ZEALAND AVE N,CHAMPLIN,55316,true,false,5
1533de3430042087ea18cd8dfefb879e42c0535c61578ac4e8b19ea0d650f8ad,FRONTERA PRODUCE LTD,P O BOX 2019,EDINBURG,78540,true,false,5
28d1b29f3d45b77ac2897bcbb07cf953abf7a4d0f474b082fc8dd81487d4ecce,GOLDEN MEADOWS LLC,3274 E 800 NORTH RD,FAIRMOUNT,61841,true,false,5
254e01b446dfc41f4b350cdec29a769431de49bd5c661396bf8e586e6d7270bf,ARKANSAS GAME AND FISH COMMISSION,2 NATURAL RESOURCES DRIVE,LITTLE ROCK,72205,true,false,5
531051bb157078af5c9efa74d1ab45161ce32c2ad8071d9bc71c5373e27703db,USPROTECT CORPORATION,801 ROEDER RD SUITE 1000,SILVER SPRING,20910,true,false,5
e0d791ceb2f154dbae0bb2e17bc29b42857305923b50333394f44528172785d8,SYSTEMS TRAINING  RESOURCES INC,5501 BACKLICK ROAD STE 200,SPRINGFIELD,22151,true,false,5
f5954e7060363354f72f9258b38f26792cefe928bbc9ea6c8dbb85d87966bc26,SOI IN CORPORATION,PMB 303 BOX 10018,SAIPAN,96950,true,false,5
91118f67138b9186cabd7c5b3c44f2da91ca8c2a21e1803b1e1e6c598d9a5f58,CREW KNITWEAR INC,660 S MYERS STREET,LOS ANGELES,90023,true,false,5
483d4242b72be5c9cf9ac24c7a64910b17b261be7ceba05b04b6b41f66e0765f,FRESH VEG HARVESTING CO,1011 AVONDALE,LAS CRUCES,88005,true,false,5
8e39b36bc79a1ca4211cbfc638b2c6ab42bdca1cd8d88bca82517a9a7e6fad73,GONZALEZ ARTURO FLC,3819 CONNERS DR,WESLACO,78596,true,false,5
7fb89188ef8900c60cdf7dc8d16bdfe62d1d8447a2423ad6430b6e9bae481e18,CENTRAL FAIRFAX SERVICES INC,6860 COMMERCIAL DRIVE,SPRINGFIELD,22151,true,false,5
ac8df27cd3f6b12c8915533bf8e9803b721500d56ee2b31a3c1f1d8e0ba42940,GONZALEZ ARTURO,3819 CONNERS DR,WESLACO,78596,true,false,5
b911266f6638c6f0c7e3121715a3343338d2831cec91e9eefe43654cb495c4a7,PILGRIM STATE PSYCHIATRIC CENTER,988 CROOKED HILL ROAD,WEST BRENTWOOD,11717,true,false,5
d9ed2c40e2971c362f428d25affe16f77c6dfdddf8a2b0539955d97b4ea72155,SBC,2401 WEST GRACE STREET,CHICAGO,60618,true,false,5
e2a63f673c43554be68f95a48a58900a88da92d0e922b6941a1b624a72e18370,MULNITE FARMS,28 MILLER ROAD,BROAD BROOK,6016,true,false,5
dfb6eebc08f03ae187b5fc441b99eaeb93b57c1bbc86cb3a7b8e0f0373bb71cb,J  D PRODUCE INC,7310 N EXPRESSWAY 281,EDINBURG,78539,true,false,5
255c10bda07845f32596b57fa7104e34d283372c4621a3d986588f08a5f25f36,GALLO VINEYARDS INC,3387 DRY CREEK ROAD,HEALDSBURG,95448,true,false,5
551bad10c275aff0cfb6ee4b870fcd2974b753844940b82b1fdbee54bc11d1fb,VIZZA WASH LIMITED PARTNERSHIP,2208 NW LOOP 410,SAN ANTONIO,78230,true,false,5
1d764e7b2b23cf1ee60fe683c7874c02ec5773f183883a92e7f6d5054433dc5b,MANAGEMENT CONSULTING INC,1617 DIAMOND SPRINGS ROAD,VIRGINIA BEACH,23455,true,false,5
9e539393b4eb37c79c71570d02421412dd3a8ac55557f6e6d285926afa852ecb,MARKOWSKI FARMS,216 BABBS ROAD,WEST SUFFIELD,6093,true,false,5
723258864c0301c3fc1c411bce41872bc719f57020a05911d4b1b46ea41d24d5,HOTEL CLEANING SERVICES INC,9609 N 22ND AVENUE,PHOENIX,85021,true,false,5
5e36be75acdc1fcb01f75b57461b3adce21010ff354d5a87461a0baff6b7524b,ATLANTIC COAST CONTRACTING INC,8656 TIMOTHY RD,DUNN,28334,true,false,5
1109f4711d71f9f516c1de1f0492f27d7e883c7625f20bec34e4d37834bceb20,RIO RICO FARMS INC,PO BOX 100,PROGRESO,78579,true,false,5
d136298c6ea312430c6057081554ca0131111c17187b4154aa18002196181729,WARREN PRODUCE CO LLC,PO BOX 4185,EDINBURG,78539,true,false,5
cfa720fbec27fb2554490b5d4d0693ff082b08e5178d5260ffa1472869500e5f,UTT INC,PO BOX 11915,TAMUNING,96931,true,false,5
